level,frame,confidence,period
5,THREAT,0.85,P3_Recursive
5,NEUTRAL,0.85,P3_Recursive
5,NEUTRAL,0.85,P3_Recursive
5,NEUTRAL,0.9,P3_Recursive
5,DIPLOMACY,0.85,P3_Recursive
5,DIPLOMACY,0.85,P3_Recursive
4,THREAT,0.9,P3_Recursive
4,NEUTRAL,0.9,P3_Recursive
4,NEUTRAL,0.85,P3_Recursive
4,NEUTRAL,0.9,P3_Recursive
4,DIPLOMACY,0.9,P3_Recursive
4,THREAT,0.85,P3_Recursive
4,HUMANITARIAN,0.9,P3_Recursive
4,DIPLOMACY,0.85,P3_Recursive
4,DIPLOMACY,0.85,P3_Recursive
3,THREAT,0.85,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,HUMANITARIAN,0.9,P3_Recursive
3,THREAT,0.85,P3_Recursive
3,NEUTRAL,0.8,P3_Recursive
3,DIPLOMACY,0.85,P3_Recursive
3,HUMANITARIAN,0.9,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,DIPLOMACY,0.95,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,HUMANITARIAN,0.85,P3_Recursive
3,DIPLOMACY,0.85,P3_Recursive
3,DIPLOMACY,0.9,P3_Recursive
3,DIPLOMACY,0.85,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
3,DIPLOMACY,0.85,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
3,DIPLOMACY,0.85,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,DIPLOMACY,0.85,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
3,NEUTRAL,0.85,P3_Recursive
3,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,THREAT,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,THREAT,0.85,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,THREAT,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,THREAT,0.85,P3_Recursive
2,THREAT,0.85,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,THREAT,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,DIPLOMACY,0.8,P3_Recursive
2,THREAT,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,THREAT,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,ECONOMIC,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,HUMANITARIAN,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,ECONOMIC,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,DIPLOMACY,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,HUMANITARIAN,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,THREAT,0.9,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,DIPLOMACY,0.9,P3_Recursive
2,HUMANITARIAN,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.8,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,HUMANITARIAN,0.85,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
2,HUMANITARIAN,0.9,P3_Recursive
2,NEUTRAL,0.85,P3_Recursive
2,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.8,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,DIPLOMACY,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,HUMANITARIAN,0.95,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,ECONOMIC,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,HUMANITARIAN,0.95,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,THREAT,0.95,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,HUMANITARIAN,0.95,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
